time,V(n003)
1.001117821086181e-003,2.271558e-001
1.001205057052637e-003,1.366246e-001
1.001243418785221e-003,9.774736e-002
1.001469580797437e-003,-1.283157e-001
1.002000000000000e-003,-6.584635e-001
1.002011865970568e-003,-6.696868e-001
1.002027687264658e-003,-6.830763e-001
1.002037670283127e-003,-6.901941e-001
1.002049918256754e-003,-6.968843e-001
1.002064454427588e-003,-7.024669e-001
1.002080738566819e-003,-7.061846e-001
1.002098202233619e-003,-7.079969e-001
1.002122471733481e-003,-7.080989e-001
1.002150295035055e-003,-7.066465e-001
1.002178118336630e-003,-7.054872e-001
1.002205941638204e-003,-7.046210e-001
1.002233764939778e-003,-7.040480e-001
1.002261588241353e-003,-7.037681e-001
1.002289411542927e-003,-7.037813e-001
1.002317234844501e-003,-7.040877e-001
1.025795725104811e-003,-6.724811e-001
1.049274215365120e-003,-6.415465e-001
1.072752705625429e-003,-6.112840e-001
1.096231195885738e-003,-5.816936e-001
1.119709686146048e-003,-5.527752e-001
1.143188176406357e-003,-5.245288e-001
1.166666666666666e-003,-4.969545e-001
1.166674058439241e-003,-4.970506e-001
1.166681450211815e-003,-4.965224e-001
1.166688841984389e-003,-4.953697e-001
1.166696233756964e-003,-4.935926e-001
1.166703625529538e-003,-4.911911e-001
1.166711017302112e-003,-4.881652e-001
1.166718409074687e-003,-4.845149e-001
1.166733295011070e-003,-4.748609e-001
1.166754334943503e-003,-4.575494e-001
1.166783906923718e-003,-4.292987e-001
1.166808865280301e-003,-4.036130e-001
1.166836983451978e-003,-3.741189e-001
1.166871076017308e-003,-3.388583e-001
1.166909190763589e-003,-3.002363e-001
1.166964963030849e-003,-2.444441e-001
1.167065206407394e-003,-1.442869e-001
1.167165449783939e-003,-4.413298e-002
1.167265693160485e-003,5.601774e-002
1.167365936537030e-003,1.561652e-001
1.167466179913575e-003,2.563095e-001
1.167566423290121e-003,3.564505e-001
1.167666666666666e-003,4.565882e-001
1.167684582730206e-003,4.733439e-001
1.167696083227851e-003,4.825686e-001
1.167709503710067e-003,4.912845e-001
1.167723965529818e-003,4.981754e-001
1.167739026183097e-003,5.028006e-001
1.167755114531113e-003,5.053851e-001
1.167774332133505e-003,5.065035e-001
1.167794317953827e-003,5.061024e-001
1.167815859279806e-003,5.048919e-001
1.167837400605786e-003,5.039008e-001
1.167858941931765e-003,5.031292e-001
1.167880483257745e-003,5.025770e-001
1.167902024583724e-003,5.022443e-001
1.167923565909704e-003,5.021309e-001
1.167945107235683e-003,5.022371e-001
1.191714853821062e-003,4.671348e-001
1.215484600406441e-003,4.332329e-001
1.239254346991819e-003,4.005312e-001
1.263024093577197e-003,3.690298e-001
1.286793840162576e-003,3.387288e-001
1.310563586747955e-003,3.096280e-001
1.334333333333333e-003,2.817274e-001
1.334345899764003e-003,2.815377e-001
1.334358466194673e-003,2.795245e-001
1.334371032625343e-003,2.756877e-001
1.334383599056013e-003,2.700274e-001
1.334396165486683e-003,2.625436e-001
1.334408731917353e-003,2.532362e-001
1.334421298348023e-003,2.421053e-001
1.334451057427792e-003,2.136495e-001
1.334538595679925e-003,1.228259e-001
1.334576980379046e-003,8.393538e-002
1.334803799363100e-003,-1.427470e-001
1.335333333333333e-003,-6.719260e-001
1.335343513486592e-003,-6.816672e-001
1.335357087024271e-003,-6.935117e-001
1.335367547742724e-003,-7.013636e-001
1.335380138504912e-003,-7.087836e-001
1.335394668471556e-003,-7.149232e-001
1.335410376116483e-003,-7.190222e-001
1.335427169622080e-003,-7.211141e-001
1.335455512221355e-003,-7.215674e-001
1.335482895191605e-003,-7.201158e-001
1.335510278161856e-003,-7.189542e-001
1.335537661132107e-003,-7.180825e-001
1.335565044102358e-003,-7.175008e-001
1.335592427072608e-003,-7.172091e-001
1.335619810042859e-003,-7.172074e-001
1.335647193013110e-003,-7.174957e-001
1.359126165439808e-003,-6.823113e-001
1.382605137866507e-003,-6.479833e-001
1.406084110293205e-003,-6.145116e-001
1.429563082719904e-003,-5.818963e-001
1.453042055146602e-003,-5.501374e-001
1.476521027573301e-003,-5.192349e-001
1.499999999999999e-003,-4.891887e-001
1.500004210293386e-003,-4.892205e-001
1.500008420586773e-003,-4.890912e-001
1.500012630880160e-003,-4.888010e-001
1.500016841173547e-003,-4.883497e-001
1.500021051466934e-003,-4.877374e-001
1.500025261760321e-003,-4.869641e-001
1.500029472053708e-003,-4.860298e-001
1.500038816055213e-003,-4.829380e-001
1.500051765339851e-003,-4.767310e-001
1.500066657474217e-003,-4.670674e-001
1.500087709674229e-003,-4.497378e-001
1.500117310000889e-003,-4.214513e-001
1.500142255465132e-003,-3.957743e-001
1.500170375738932e-003,-3.662751e-001
1.500204468267391e-003,-3.310123e-001
1.500242610201088e-003,-2.923602e-001
1.500467741536225e-003,-6.739005e-002
1.500999999999999e-003,4.644551e-001
1.501007677868208e-003,4.719145e-001
1.501017915025820e-003,4.812117e-001
1.501029416599299e-003,4.904385e-001
1.501042838360317e-003,4.991566e-001
1.501057300974312e-003,5.060492e-001
1.501072362839381e-003,5.106760e-001
1.501088453113181e-003,5.132620e-001
1.501107675855126e-003,5.143822e-001
1.501118188011262e-003,5.143442e-001
1.501139921951570e-003,5.133585e-001
1.501176580745494e-003,5.114935e-001
1.501191329263192e-003,5.109654e-001
1.501206921535008e-003,5.105770e-001
1.501226905137166e-003,5.102937e-001
1.501278419606161e-003,5.101333e-001
1.501339199648714e-003,5.101376e-001
1.501399979691267e-003,5.101206e-001
1.501460759733819e-003,5.100823e-001
1.501521539776372e-003,5.100225e-001
1.501582319818925e-003,5.099414e-001
1.501643099861478e-003,5.098389e-001
1.501703879904031e-003,5.097151e-001
1.525412849441550e-003,4.769557e-001
1.549121818979069e-003,4.452606e-001
1.572830788516589e-003,4.146298e-001
1.596539758054108e-003,3.850632e-001
1.620248727591627e-003,3.565608e-001
1.643957697129147e-003,3.291228e-001
1.667666666666666e-003,3.027490e-001
1.667674079469946e-003,3.028456e-001
1.667681492273226e-003,3.023148e-001
1.667688905076506e-003,3.011566e-001
1.667696317879786e-003,2.993710e-001
1.667703730683066e-003,2.969580e-001
1.667711143486346e-003,2.939176e-001
1.667718556289626e-003,2.902498e-001
1.667733485758665e-003,2.805535e-001
1.667754605899135e-003,2.631567e-001
1.667784346753916e-003,2.347269e-001
1.667809287860772e-003,2.090541e-001
1.667837463694878e-003,1.795008e-001
1.667871608042718e-003,1.441907e-001
1.667909915134268e-003,1.053744e-001
1.668135926068554e-003,-1.204896e-001
1.668666666666666e-003,-6.508443e-001
1.668676853180675e-003,-6.605906e-001
1.668690435199353e-003,-6.724405e-001
1.668700893804644e-003,-6.802889e-001
1.668713482937517e-003,-6.877054e-001
1.668728012912710e-003,-6.938425e-001
1.668743722286589e-003,-6.979396e-001
1.668760517310782e-003,-7.000299e-001
1.668779402901193e-003,-7.006581e-001
1.668793707890965e-003,-6.999787e-001
1.668808012880737e-003,-6.993372e-001
1.668822317870509e-003,-6.987335e-001
1.668836622860281e-003,-6.981676e-001
1.668850927850053e-003,-6.976396e-001
1.668865232839825e-003,-6.971494e-001
1.668879537829597e-003,-6.966971e-001
1.688708910149803e-003,-6.657814e-001
1.708538282470009e-003,-6.355643e-001
1.728367654790216e-003,-6.060458e-001
1.748197027110422e-003,-5.772258e-001
1.768026399430628e-003,-5.491045e-001
1.787855771750834e-003,-5.216816e-001
1.807685144071040e-003,-4.949574e-001
1.811349171108511e-003,-4.900964e-001
1.815013198145981e-003,-4.852589e-001
1.818677225183451e-003,-4.804450e-001
1.822341252220921e-003,-4.756546e-001
1.826005279258392e-003,-4.708878e-001
1.829669306295862e-003,-4.661445e-001
1.833333333333332e-003,-4.614248e-001
1.833336321459831e-003,-4.614321e-001
1.833339309586330e-003,-4.613734e-001
1.833342297712829e-003,-4.612485e-001
1.833345285839328e-003,-4.610574e-001
1.833348273965826e-003,-4.608002e-001
1.833351262092326e-003,-4.604769e-001
1.833354250218824e-003,-4.600875e-001
1.833362811408076e-003,-4.582637e-001
1.833372157101045e-003,-4.551704e-001
1.833385109049160e-003,-4.489607e-001
1.833400004101249e-003,-4.392933e-001
1.833421061916583e-003,-4.219566e-001
1.833450674822784e-003,-3.936555e-001
1.833475616323365e-003,-3.679814e-001
1.833503738944915e-003,-3.384792e-001
1.833537832985794e-003,-3.032147e-001
1.833575988140532e-003,-2.645487e-001
1.833801173374336e-003,-3.951908e-002
1.834333333333332e-003,4.922409e-001
1.834341011228508e-003,4.997006e-001
1.834351248422075e-003,5.089981e-001
1.834362750800130e-003,5.182258e-001
1.834376173596427e-003,5.269450e-001
1.834390637002751e-003,5.338383e-001
1.834405700070532e-003,5.384659e-001
1.834421792029273e-003,5.410525e-001
1.834441018676500e-003,5.421734e-001
1.834451530860312e-003,5.421357e-001
1.834473264151599e-003,5.411507e-001
1.834509910360025e-003,5.392874e-001
1.834540252718928e-003,5.383715e-001
1.834560241685232e-003,5.380886e-001
1.834611759064636e-003,5.379293e-001
1.834672547620537e-003,5.379352e-001
1.834733336176439e-003,5.379197e-001
1.834794124732341e-003,5.378828e-001
1.834854913288243e-003,5.378246e-001
1.834915701844144e-003,5.377450e-001
1.834976490400046e-003,5.376440e-001
1.835037278955948e-003,5.375217e-001
1.853274270148058e-003,5.126425e-001
1.871511261340168e-003,4.883492e-001
1.889748252532279e-003,4.646419e-001
1.907985243724389e-003,4.415206e-001
1.926222234916499e-003,4.189852e-001
1.944459226108610e-003,3.970358e-001
1.962696217300720e-003,3.756723e-001
1.968168186257760e-003,3.693754e-001
1.973640155214800e-003,3.631300e-001
1.979112124171840e-003,3.569359e-001
1.984584093128879e-003,3.507933e-001
1.990056062085919e-003,3.447022e-001
1.995528031042959e-003,3.386624e-001
2.000999999999999e-003,3.326741e-001
2.001005557848941e-003,3.327387e-001
2.001011115697884e-003,3.324832e-001
2.001016673546826e-003,3.319078e-001
2.001022231395767e-003,3.310123e-001
2.001027789244709e-003,3.297967e-001
2.001033347093652e-003,3.282612e-001
2.001038904942594e-003,3.264056e-001
2.001051886046207e-003,3.201779e-001
2.001066814695020e-003,3.104833e-001
2.001087932991261e-003,2.930898e-001
2.001117669032772e-003,2.646664e-001
