time,V(n003)
1.502244848502990e-003,-1.793553e-001
1.538517169931561e-003,-1.738089e-001
1.574789491360133e-003,-1.679188e-001
1.611061812788704e-003,-1.616851e-001
1.648729223502990e-003,-1.550921e-001
1.686396634217276e-003,-1.484723e-001
1.724064044931562e-003,-1.418256e-001
1.761731455645847e-003,-1.351521e-001
1.799398866360133e-003,-1.284517e-001
1.837066277074419e-003,-1.217245e-001
1.874733687788704e-003,-1.149704e-001
1.917981455645847e-003,-1.073608e-001
1.961229223502989e-003,-9.996149e-002
2.004476991360131e-003,-9.277238e-002
2.047724759217273e-003,-8.579351e-002
2.090972527074415e-003,-7.902487e-002
2.134220294931558e-003,-7.246647e-002
2.177468062788700e-003,-6.611831e-002
2.220715830645841e-003,-6.008518e-002
2.263963598502984e-003,-5.433823e-002
2.307211366360125e-003,-4.887746e-002
2.350459134217268e-003,-4.370288e-002
2.393706902074409e-003,-3.881447e-002
2.436954669931552e-003,-3.421225e-002
2.480202437788693e-003,-2.989620e-002
2.527635473502978e-003,-2.551422e-002
2.575068509217263e-003,-2.143854e-002
2.622501544931548e-003,-1.766918e-002
2.669934580645832e-003,-1.420613e-002
2.717367616360117e-003,-1.104938e-002
2.764800652074401e-003,-8.198947e-003
2.812233687788686e-003,-5.654822e-003
2.841530562788686e-003,-4.197873e-003
2.870827437788685e-003,-2.838027e-003
2.900124312788684e-003,-1.571990e-003
2.929421187788684e-003,-3.964377e-004
2.958718062788683e-003,6.919709e-004
2.988014937788682e-003,1.696581e-003
3.017311812788682e-003,2.620734e-003
3.054979223502967e-003,3.679260e-003
3.092646634217252e-003,4.634215e-003
3.130314044931537e-003,5.485600e-003
3.167981455645822e-003,6.233415e-003
3.205648866360106e-003,6.877659e-003
3.243316277074391e-003,7.418333e-003
3.280983687788676e-003,7.855436e-003
3.324231455645818e-003,8.256494e-003
3.367479223502960e-003,8.580081e-003
3.410726991360102e-003,8.826197e-003
3.453974759217244e-003,8.994842e-003
3.497222527074386e-003,9.086016e-003
3.540470294931528e-003,9.099719e-003
3.583718062788670e-003,9.035951e-003
3.632546187788669e-003,8.905043e-003
3.681374312788668e-003,8.735893e-003
3.730202437788667e-003,8.528502e-003
3.779030562788666e-003,8.282870e-003
3.827858687788665e-003,7.998996e-003
3.876686812788664e-003,7.676881e-003
3.925514937788662e-003,7.316524e-003
3.985503777074376e-003,6.857481e-003
4.045492616360088e-003,6.399141e-003
4.105481455645802e-003,5.941506e-003
4.165470294931514e-003,5.484574e-003
4.225459134217228e-003,5.028347e-003
4.285447973502941e-003,4.572824e-003
4.345436812788654e-003,4.118005e-003
4.423561812788652e-003,3.563902e-003
4.501686812788650e-003,3.049005e-003
4.579811812788649e-003,2.573314e-003
4.657936812788647e-003,2.136828e-003
4.736061812788645e-003,1.739548e-003
4.814186812788644e-003,1.381474e-003
4.892311812788642e-003,1.062605e-003
4.978807348502925e-003,7.658370e-004
5.065302884217210e-003,5.056496e-004
5.151798419931493e-003,2.820430e-004
5.238293955645778e-003,9.501740e-005
5.324789491360061e-003,-5.542733e-005
5.411285027074345e-003,-1.692912e-004
5.497780562788629e-003,-2.465741e-004
5.595436812788627e-003,-3.059231e-004
5.693093062788625e-003,-3.498725e-004
5.790749312788623e-003,-3.784221e-004
5.888405562788621e-003,-3.915720e-004
5.986061812788619e-003,-3.893223e-004
6.083718062788616e-003,-3.716728e-004
6.181374312788614e-003,-3.386236e-004
6.343204669931468e-003,-2.811282e-004
6.505035027074322e-003,-2.279487e-004
6.666865384217176e-003,-1.790850e-004
6.828695741360029e-003,-1.345372e-004
6.990526098502883e-003,-9.430526e-005
7.152356455645737e-003,-5.838921e-005
7.314186812788590e-003,-2.678902e-005
7.577858687788585e-003,-5.113830e-006
7.841530562788579e-003,1.129132e-005
8.105202437788573e-003,2.242645e-005
8.368874312788568e-003,2.829153e-005
8.632546187788562e-003,2.888659e-005
8.896218062788557e-003,2.421162e-005
9.159889937788551e-003,1.426661e-005
9.169655562788551e-003,1.414424e-005
9.999733687788533e-003,7.936155e-006
1.000000000000000e-002,7.935365e-006
