time,V(n003)
0.000000000000000e+000,-1.597199e-001
5.999999999999062e-007,-1.596210e-001
1.000000000000133e-006,-1.595570e-001
1.000880545055406e-006,-1.595592e-001
1.009426530103504e-006,-1.597398e-001
1.014878734511941e-006,-1.601049e-001
1.020536468754850e-006,-1.608001e-001
1.028981457440632e-006,-1.625393e-001
1.038222741701032e-006,-1.655149e-001
1.051005741575795e-006,-1.715075e-001
1.065708479854391e-006,-1.808815e-001
1.086392784166272e-006,-1.976814e-001
1.115109917727147e-006,-2.248921e-001
1.140619001983520e-006,-2.510419e-001
1.168778568635953e-006,-2.805397e-001
1.202957931811625e-006,-3.158864e-001
1.240348241442202e-006,-3.537680e-001
2.000000000000266e-006,-1.111951e+000
2.007685533413940e-006,-1.119408e+000
2.017932911298551e-006,-1.128699e+000
2.029397324116930e-006,-1.137876e+000
2.042772963465646e-006,-1.146538e+000
2.057203888845664e-006,-1.153386e+000
2.072219047789120e-006,-1.157966e+000
2.088247180861633e-006,-1.160509e+000
2.107338680053077e-006,-1.161582e+000
2.127354959842974e-006,-1.161139e+000
2.152612545423543e-006,-1.159749e+000
2.177870131004112e-006,-1.158627e+000
2.203127716584681e-006,-1.157775e+000
2.228385302165250e-006,-1.157191e+000
2.253642887745819e-006,-1.156877e+000
2.278900473326387e-006,-1.156831e+000
2.304158058906956e-006,-1.157054e+000
1.121317242756169e-005,-1.132135e+000
2.012218679621642e-005,-1.107493e+000
2.903120116487115e-005,-1.083128e+000
3.794021553352588e-005,-1.059040e+000
4.684922990218061e-005,-1.035228e+000
5.575824427083535e-005,-1.011694e+000
6.466725863949006e-005,-9.884366e-001
1.021021544728232e-004,-8.931947e-001
1.395370503061563e-004,-8.025646e-001
1.769719461394894e-004,-7.167265e-001
2.144068419728225e-004,-6.356336e-001
2.518417378061556e-004,-5.592204e-001
2.892766336394887e-004,-4.874058e-001
3.267115294728219e-004,-4.200943e-001
3.641464253061550e-004,-3.571783e-001
4.015813211394881e-004,-2.985393e-001
4.390162169728212e-004,-2.440498e-001
4.764511128061543e-004,-1.935749e-001
5.138860086394874e-004,-1.469730e-001
5.513209044728205e-004,-1.040979e-001
5.887558003061537e-004,-6.479949e-002
6.261906961394868e-004,-2.892483e-002
6.636255919728199e-004,3.680685e-003
7.010604878061530e-004,3.317255e-002
7.384953836394861e-004,5.970627e-002
7.759302794728192e-004,8.343668e-002
8.133651753061523e-004,1.045172e-001
8.508000711394854e-004,1.230992e-001
8.882349669728186e-004,1.393318e-001
9.256698628061517e-004,1.533608e-001
9.631047586394848e-004,1.653289e-001
1.000539654472818e-003,1.753748e-001
1.037974550306151e-003,1.836334e-001
1.075409446139484e-003,1.902352e-001
1.112844341972817e-003,1.953060e-001
1.150279237806150e-003,1.989672e-001
1.187714133639484e-003,2.013352e-001
1.225149029472817e-003,2.025217e-001
1.262583925306150e-003,2.026330e-001
1.300018821139483e-003,2.017709e-001
1.337453716972816e-003,2.000318e-001
1.374888612806149e-003,1.975072e-001
1.412323508639482e-003,1.942839e-001
1.449758404472815e-003,1.904434e-001
1.487193300306148e-003,1.860625e-001
1.524628196139482e-003,1.812136e-001
1.562063091972815e-003,1.759639e-001
1.599497987806148e-003,1.703897e-001
1.609093513357649e-003,1.689238e-001
1.618689038909151e-003,1.674389e-001
1.628284564460653e-003,1.659350e-001
1.637880090012155e-003,1.644120e-001
1.647475615563657e-003,1.628699e-001
1.657071141115158e-003,1.613088e-001
1.666666666666660e-003,1.597287e-001
1.666673894643402e-003,1.598315e-001
1.666677492831508e-003,1.599881e-001
1.666683523787550e-003,1.604860e-001
1.666689655573159e-003,1.613913e-001
1.666698786875387e-003,1.635965e-001
1.666708701509730e-003,1.672485e-001
1.666722514337415e-003,1.744877e-001
1.666738471371628e-003,1.856033e-001
1.666761617310148e-003,2.056845e-001
1.666797357287335e-003,2.409508e-001
1.666859131588858e-003,3.052212e-001
1.666893415053929e-003,3.401853e-001
1.666940092667444e-003,3.869760e-001
1.667666666666660e-003,1.111872e+000
1.667674705764284e-003,1.119657e+000
1.667685424561116e-003,1.129328e+000
1.667696752458344e-003,1.138324e+000
1.667710034561297e-003,1.146830e+000
1.667724523808480e-003,1.153618e+000
1.667739678794115e-003,1.158167e+000
1.667755871905184e-003,1.160673e+000
1.667775324862861e-003,1.161714e+000
1.667807457631551e-003,1.160610e+000
1.667831254017724e-003,1.159418e+000
1.667855050403896e-003,1.158461e+000
1.667878846790069e-003,1.157742e+000
1.667902643176241e-003,1.157258e+000
1.667926439562414e-003,1.157011e+000
1.667950235948587e-003,1.157001e+000
1.667974032334759e-003,1.157226e+000
1.677687162483567e-003,1.130078e+000
1.687400292632374e-003,1.103256e+000
1.697113422781182e-003,1.076762e+000
1.706826552929990e-003,1.050596e+000
1.716539683078797e-003,1.024756e+000
1.726252813227605e-003,9.992447e-001
1.735965943376413e-003,9.740604e-001
1.773400839209746e-003,8.794664e-001
1.810835735043079e-003,7.895697e-001
1.848270630876412e-003,7.044573e-001
1.885705526709745e-003,6.240793e-001
1.923140422543078e-003,5.483683e-001
1.960575318376411e-003,4.772408e-001
1.998010214209744e-003,4.105996e-001
2.035445110043077e-003,3.483353e-001
2.072880005876411e-003,2.903283e-001
2.110314901709744e-003,2.364499e-001
2.147749797543077e-003,1.865642e-001
2.185184693376410e-003,1.405290e-001
2.222619589209743e-003,9.819749e-002
2.260054485043076e-003,5.941913e-002
2.297489380876409e-003,2.404080e-002
2.334924276709742e-003,-8.092235e-003
2.372359172543075e-003,-3.713544e-002
2.409794068376409e-003,-6.324421e-002
2.447228964209742e-003,-8.657312e-002
2.484663860043075e-003,-1.072753e-001
2.522098755876408e-003,-1.255017e-001
2.559533651709741e-003,-1.414010e-001
