time,V(n003)
0.000000000000000e+000,7.966760e-006
1.666666666666670e-002,7.966761e-006
1.666667326749747e-002,1.056122e-004
1.666667612752000e-002,1.991199e-004
1.666667997019249e-002,4.224149e-004
1.666668420995867e-002,8.179135e-004
1.666668913878146e-002,1.538779e-003
1.666669612065595e-002,3.111341e-003
1.666670604739324e-002,6.456602e-003
1.666671862843041e-002,1.253551e-002
1.666673441019319e-002,2.284938e-002
1.666675490734078e-002,3.966360e-002
1.666677973538025e-002,6.332304e-002
1.666681242158496e-002,9.689817e-002
1.666684665907808e-002,1.326334e-001
1.666687975906513e-002,1.666754e-001
1.666691994835584e-002,2.071835e-001
1.666766666666670e-002,9.523311e-001
1.666767861323332e-002,9.636082e-001
1.666769454198881e-002,9.770520e-001
1.666770452451264e-002,9.841447e-001
1.666771678439294e-002,9.908122e-001
1.666773134255458e-002,9.963748e-001
1.666774768832155e-002,1.000081e+000
1.666776522189698e-002,1.001882e+000
1.666777983495633e-002,1.002197e+000
1.666778944844676e-002,1.001964e+000
1.666779960107676e-002,1.001496e+000
1.666783616936332e-002,9.995374e-001
1.666784950322870e-002,9.989676e-001
1.666786455938982e-002,9.984798e-001
1.666788171852621e-002,9.981109e-001
1.666790339656844e-002,9.978656e-001
1.666793522630151e-002,9.977337e-001
1.666802034589594e-002,9.976888e-001
1.668174422751379e-002,9.615681e-001
1.669546810913164e-002,9.262704e-001
1.670919199074950e-002,8.917957e-001
1.672291587236734e-002,8.581439e-001
1.673663975398520e-002,8.253151e-001
1.675036363560304e-002,7.933093e-001
1.676408751722090e-002,7.621265e-001
1.685979989635956e-002,5.648636e-001
1.703266352518953e-002,2.741695e-001
1.719456384443788e-002,7.093035e-002
1.735771156848893e-002,-6.655695e-002
1.752392597746813e-002,-1.526873e-001
1.767790433715993e-002,-1.932366e-001
1.786022653312561e-002,-2.068281e-001
1.803770671912374e-002,-1.971446e-001
1.824102023515335e-002,-1.695748e-001
1.844261306779989e-002,-1.351271e-001
1.866733030599407e-002,-9.618376e-002
1.889465153745210e-002,-6.103583e-002
1.907557981177482e-002,-3.790946e-002
1.921860646945451e-002,-2.354734e-002
1.937633607359952e-002,-1.153211e-002
1.954529095187789e-002,-2.287435e-003
1.972997386399249e-002,4.268465e-003
1.991984090270341e-002,7.972135e-003
2.012662641553944e-002,9.477542e-003
2.033976331956443e-002,9.263926e-003
2.055878382089861e-002,7.974668e-003
2.080683828632022e-002,6.015957e-003
2.108143751796450e-002,3.870614e-003
2.134918627411393e-002,2.079304e-003
2.149900745377933e-002,1.297047e-003
2.166321644384059e-002,6.586160e-004
2.182331495462353e-002,2.072642e-004
2.201234511146833e-002,-1.458226e-004
2.219455410186562e-002,-3.414254e-004
2.240607154668381e-002,-4.360526e-004
2.261327705180397e-002,-4.394737e-004
2.284702054117213e-002,-3.809323e-004
2.308412673004264e-002,-2.940109e-004
2.368813403882917e-002,-8.726814e-005
2.404006927687458e-002,-1.360958e-005
2.452225250136910e-002,2.550554e-005
2.502462098615140e-002,2.106319e-005
2.552698947093370e-002,1.724563e-005
2.602935795571601e-002,1.405284e-005
2.653172644049831e-002,1.148484e-005
2.703409492528061e-002,9.541624e-006
2.753646341006292e-002,8.223188e-006
2.803883189484522e-002,7.529536e-006
3.333433333333340e-002,7.967896e-006
3.333433589676742e-002,-7.852572e-006
3.333433882640631e-002,-5.163198e-005
3.333434277401027e-002,-1.729731e-004
3.333434700543978e-002,-4.156596e-004
3.333435138550948e-002,-8.343760e-004
3.333435619098604e-002,-1.559529e-003
3.333436336248372e-002,-3.222423e-003
3.333437345039843e-002,-6.711085e-003
3.333438628976374e-002,-1.305948e-002
3.333440230285268e-002,-2.372649e-002
3.333442332555275e-002,-4.130890e-002
3.333445279998498e-002,-6.978621e-002
3.333448419553549e-002,-1.022011e-001
3.333451961850253e-002,-1.391730e-001
3.333455201714036e-002,-1.723820e-001
3.333459552815386e-002,-2.161278e-001
3.333533333333340e-002,-9.525307e-001
3.333534311814409e-002,-9.619060e-001
3.333535616455833e-002,-9.733522e-001
3.333536674588179e-002,-9.813725e-001
3.333537942110778e-002,-9.889531e-001
3.333539393267791e-002,-9.951979e-001
3.333540950135525e-002,-9.993623e-001
3.333542613413381e-002,-1.001478e+000
3.333544712034420e-002,-1.002163e+000
3.333545689609633e-002,-1.001958e+000
3.333547844806245e-002,-1.000817e+000
3.333550343640548e-002,-9.994714e-001
3.333551655186003e-002,-9.989121e-001
3.333553188868152e-002,-9.984220e-001
3.333554893397661e-002,-9.980663e-001
3.333557125248596e-002,-9.978297e-001
3.333560432504122e-002,-9.977118e-001
3.333569246936730e-002,-9.976662e-001
3.334894340667808e-002,-9.627687e-001
3.336219434398887e-002,-9.286403e-001
3.337544528129965e-002,-8.952809e-001
3.338869621861045e-002,-8.626906e-001
3.340194715592123e-002,-8.308694e-001
3.341519809323202e-002,-7.998172e-001
3.342844903054280e-002,-7.695341e-001
3.352065157329143e-002,-5.781517e-001
3.369433813288818e-002,-2.828842e-001
3.385429935947619e-002,-7.914702e-002
3.401936164014323e-002,6.222539e-002
3.418748834077973e-002,1.511469e-001
3.434025855098508e-002,1.924275e-001
3.452299253929134e-002,2.077553e-001
